*****************************
Basic coeficients
*****************************
Alpha, Cd
   13.00    ,     .000    
   16.00    ,     .000    

DeltaElev, Cha_Elev
  -15.00    ,   -.3166E-02
  -10.00    ,   -.3166E-02
  -5.000    ,   -.3166E-02
    .000    ,   -.3166E-02
   5.000    ,   -.3166E-02
   10.00    ,   -.3166E-02
   13.00    ,   -.3166E-02
   16.00    ,   -.3166E-02

DeltaElev, Chd_Elev
  -15.00    ,   -.1248E-01
  -10.00    ,   -.1242E-01
  -5.000    ,   -.1242E-01
    .000    ,   -.1242E-01
   5.000    ,   -.1242E-01
   10.00    ,   -.1242E-01
   13.00    ,   -.1244E-01
   16.00    ,   -.1251E-01



